Ulasan,clean,cleanStemming,word_count,English,sentiment,Vader_Sentiment
sebenarnya toko dan produknya bagus tapi saya memberikan bintang lebih ke karena pengalaman berbelanja yang kurang menyenangkan semoga dari pihak manajemen bisa lebih,sebenarnya toko produknya bagus memberikan bintang lebih pengalaman berbelanja kurang menyenanggaan semoga pihak manajemen bisaa lebih,benar toko produk bagus beri bintang lebih alam belanja kurang menyenanggaan moga pihak manajemen bisaa lebih,23,"Actually, the product store is good to give a star more shopping experience, I hope that the management can be more",0.7003,Positive
barang sudah diterima dengan baik packing sangat rapi dan aman belum di coba karna nunggu part lain,barang diterima baik packing sangat rapi aman coba karna nunggu part,barang terima baik packing sangat rapi aman coba karna nunggu part,17,Goods well received packing very neatly safe try because waiting for parts,0.7889,Positive
packing sangat rapi dan gak pelit buble wrap bubble wrapny double sehingga aman nya pake bangethead set sudah dicoba untuk kualitas bahan terjamin mantap karena merk,packing sangat rapi ngga pelit buble wrap bubble wrapny double aman pake bangethead set dicoba kualitas bahan terjamin mantap merk,packing sangat rapi ngga pelit buble wrap bubble wrapny double aman pake bangethead set coba kualitas bahan jamin mantap merk,26,"Very neat packing is not stingy bubble wrap bubble wrap double safe using a very wellhead set, try the quality of the ingredients guaranteed to be steady brand",0.8303,Positive
pengiriman agak telat,pengiriman angga telat,kirim angga telat,3,Angga Delivery is late,0.0,Neutral
nyaman dipakai dpi nya juga bisa di finetune via software meskipun opsi lighting nya cuma breathing dan aja,nyaman dipakai dpi bisaa finetune via software meskipun opsi lighting cuma breathing aja,nyaman pakai dpi bisaa finetune via software meski opsi lighting cuma breathing aja,18,Comfortable to wear dpi can endeetune via software even though the lighting option is just breathing,0.5106,Positive
mantap barang sampai dengan baik barang bekerja dengan baik mantap lah,mantap barang baik barang bekerja baik mantap lah,mantap barang baik barang kerja baik mantap lah,11,great good goods good goods work good good,0.9403,Positive
nyala semoga awet,nyala semoga awet,nyala moga awet,3,I hope it is durable,0.4404,Positive
mantap packingnya bubble warpnya juga tebel lembar fisik monitor juga oke sudah ditest juga cuma kurang diadmin toko aja yg kurang aktif balas chat,mantap packingnya bubble warpnya tebel lembar fisik monitor oke ditest cuma kurang diadmin toko aja kurang aktif balas chat,mantap packingnya bubble warpnya tebel lembar fisik monitor oke ditest cuma kurang diadmin toko aja kurang aktif balas chat,24,"steady packing bubble wrap, the physical sheet of the monitor is okay, just tested it is less than the store, just not actively reply to chat",-0.016,Negative
bukan barang baru segel tapi bekas display plastik tempat baut sudah sobek dan baut sudah pernah dipakai pantes aja pas buka pertama mau dites kondisi layar udah kotor,bukan barang baru segel bekas display plastik tempat baut sobek baut pernah dipakai pantes aja pas buka pertama mau dites kondisi layar udah kotor,bukan barang baru segel bekas display plastik tempat baut sobek baut pernah pakai pantes aja pas buka pertama mau tes kondisi layar udah kotor,28,Not a new item seal used plastic display place where torn bolt bolts have been used just right when open first want to be tested the condition of the screen is dirty,-0.5574,Negative
pelayanan ramah dan sigap barang sesuai spec dan berjalan baik,pelayanan ramah sigap barang sesuai spec berjalan baik,layan ramah sigap barang sesuai spec jalan baik,10,Friendly service of goods according to the SPEC is going well,0.6486,Positive
mantap terpercaya,mantap terpercaya,mantap percaya,2,trusted,0.4767,Positive
barang original dan sesuai packing aman pengiriman cepat,barang original sesuai packing aman pengiriman cepat,barang original sesuai packing aman kirim cepat,8,Original items according to the pack of safe shipping fast shipping,0.6369,Positive
barang sampai dengan aman tapi belum di rakit nunggu barang lainnya,barang aman rakit nunggu barang lainnya,barang aman rakit nunggu barang lain,11,safe goods raft waiting for other items,0.4404,Positive
top,top,top,1,TOP,0.2023,Positive
cakep belum dicoba tapi packing super aman,cakep dicoba packing super aman,cakep coba packing super aman,7,Saucy trying super safe packing,0.7783,Positive
ini mah kelewat cepat sampainya keren bubblewrap nya berlapislapis dijamin aman,mah kelewat cepat sampainya keren bubblewrap berlapislapis dijamin aman,mah lewat cepat sampai keren bubblewrap berlapislapis jamin aman,11,mah too fast to arrive cool bubblewrap layered layered guaranteed safe,0.6369,Positive
barang oke pengiriman lama day order dari pagi dikirim besoknya,barang oke pengiriman lama day order pagi dikirim besoknya,barang oke kirim lama day order pagi kirim besok,10,OKE Items Old Delivery Day Order Morning Sent The next day,0.0,Neutral
brg nya bagus tetapi pelayanannya sangat kurang sekali solusi yg diberikan tidak membantu sama sekali customer service nya zero knowledge jd kl beli brg ini sebaikn,barang bagus pelayanannya sangat kurang sekali solusi diberikan membantu sama sekali customer service zero knowledengane jadi kl beli barang sebaikn,barang bagus layan sangat kurang sekali solusi beri bantu sama sekali customer service zero knowledengane jadi kl beli barang sebaikn,26,Good Items The service is very lacking in the solution given to help at all Customer Service Zero Knowledengane so if you buy items the best item,0.9022,Positive
proses n kirim express reply chat barang ok terima kasih sehat selalu n sukses utk store staff n kurir,proses kirim express reply chat barang terima kasih sehat selalu sukses store staff kurir,proses kirim express reply chat barang terima kasih sehat selalu sukses store staff kurir,19,the process of sending Express Reply chat goods Thank you healthy always successful Store Staff Courier,0.8402,Positive
dead pixel bleeding,dead pixel bleeding,dead pixel bleeding,3,Dead Pixel Bleeding,-0.6486,Negative
barang pertama datang dengan kondisi rusak karena miss dengan kurir dan ada dead pixel major barang pengganti datang dengan kondisi lebih bagus walaupun masih ada dead,barang pertama datang kondisi rusak miss kurir dead pixel major barang pengganti datang kondisi lebih bagus walaupun dead,barang pertama datang kondisi rusak miss kurir dead pixel major barang ganti datang kondisi lebih bagus walaupun dead,26,The first item came a broken condition Miss Kourir Dead Pixel Major replacement goods came the condition better even though Dead,-0.886,Negative
ada miskomunikasi pertama dengan kurir barang datang tanpa packing kayu alhasil barangnya rusak,miskomunikasi pertama kurir barang datang packing kayu alhasil barangnya rusak,miskomunikasi pertama kurir barang datang packing kayu alhasil barang rusak,13,The first miscommunication of the courier of the goods came the wooden packing as a result the goods were damaged,-0.4404,Negative
barang dipesan dengan packaging kayu dan diterima tanpa packing kayu dikomplain malah disuruh menghubungi pihak ekspedisi komplain pihak ekspedisi disuruh menghubungi p,barang dipesan packaging kayu diterima packing kayu dikomplain malah disuruh menghubungi pihak ekspedisi komplain pihak ekspedisi disuruh menghubungi,barang pes packaging kayu terima packing kayu komplain malah suruh hubung pihak ekspedisi komplain pihak ekspedisi suruh hubung,22,The goods ordered by wooden packaging are received by wooden packing instead they are told to contact the expedition. Complaints of the Expedition are told to contact,-0.4019,Negative
mantab,mantap,mantap,1,Excellent,0.5719,Positive
sedap sekali smoga awet aamiin yra,sedap sekali smoga awet aamiin yra,sedap sekali smoga awet aamiin yra,6,"very delicious, hopefully durable aamiin yra",0.7889,Positive
sumpah keren banget pertama karna engga di packing kayu ketinggalan di check tapi sumpah aman banget pas datang dikasih bubble wrap berlapis lapis untuk,sumpah keren banget pertama karna engga packing kayu ketinggalan check sumpah aman banget pas datang dikasih bubble wrap berlapis lapis,sumpah keren banget pertama karna engga packing kayu tinggal check sumpah aman banget pas datang kasih bubble wrap lap lapis,24,"I swear it's really cool because I don't have wood packing, I miss the oath, it's really safe when I come to be given a bubble wrap.",0.6106,Positive
kualitas sangat bagus untuk harga yang cukup rendah,kualitas sangat bagus harga cukup rendah,kualitas sangat bagus harga cukup rendah,8,very good quality price is quite low,0.2023,Positive
tampilan bagus dimensi besar bisa muat komponen yg besar juga harga sudah termasuk free kipas depan belakang quality control yg baik suhu juga aman di pakai sehar,tampilan bagus dimensi besar bisaa muat komponen besar harga termasuk free kipas depan belakang quality control baik suhu aman pakai sehar,tampil bagus dimensi besar bisaa muat komponen besar harga masuk free kipas depan belakang quality control baik suhu aman pakai sehar,27,A good appearance of a large dimension can load a large component price including free front and rear fan Quality control. Good temperature safe use,0.9231,Positive
sesuai pesanan,sesuai pesanan,sesuai pesan,2,according to the order,0.0,Neutral
toko dan adminya keren bgt fast respon,toko adminya keren banget fast respon,toko adminya keren banget fast respon,7,the admi shop is so cool fast response,0.4572,Positive
respon cepat,respon cepat,respon cepat,2,quick response,0.0,Neutral
hardware sesuai pesanan tes ok running normal,hardware sesuai pesanan tes running normal,hardware sesuai pesan tes running normal,7,hardware according to normal running test orders,0.0,Neutral
barang sudah datang sudah dicoba berfungsi dengan baik,barang datang dicoba berfungsi baik,barang datang coba fungsi baik,8,items come to try to function well,0.2732,Positive
mendarat dengan aman,mendarat aman,darat aman,3,Land safe,0.4404,Positive
barang mantap kirim cepat respon bagus,barang mantap kirim cepat respon bagus,barang mantap kirim cepat respon bagus,6,good items Send fast response,0.4404,Positive
barang sesuai,barang sesuai,barang sesuai,2,appropriate goods,0.0,Neutral
terimakasih banyak ya tapi belum dicoba,terimakasih banyak dicoba,terimakasih banyak coba,6,Thank you very much,0.3612,Positive
terimakasih barang sesuai admin fast respon semoga awet,terimakasih barang sesuai admin fast respon semoga awet,terimakasih barang sesuai admin fast respon moga awet,8,"Thank you the item according to the admin fast response, hopefully it is durable",0.6369,Positive
mangtap comment need thiss perfect mau cerita dikit begitu barang nyampe eh mau di scam pake trojan dengan alasan mau verif barang sama pihak tak bertang,mantap comment need thiss perfect mau cerita dikit barang nyampe eh mau scam pake trojan alasan mau verif barang sama pihak tak bertang,mantap comment need thiss perfect mau cerita dikit barang nyampe eh mau scam pake trojan alas mau verif barang sama pihak tak tang,26,great comment needs thiss perfect want a little story to arrive eh want to scam using trojan reasons for verification of goods with parties not stagnant,0.8126,Positive
kereeeeennnn kualitas luar biasa,kereeeeennnn kualitas luar biasa,kereeeeennnn kualitas luar biasa,4,Extraordinary quality,0.0,Neutral
pengiraman cepat harga bersahabat good job kualitas monitor k hz udah ga ada lawan,pengiraman cepat harga bersahabat good job kualitas monitor hz udahnggaada lawan,iram cepat harga sahabat good job kualitas monitor hz udahnggaada lawan,14,Fast Delivery Price Friendly Good Job Quality Hz Monitor has no opponent,0.5994,Positive
msi terbaik monitor vga dll mantap buat gaming dan youtube,msi terbaik monitor vga dulul mantap buat gaming youtube,msi baik monitor vga dulul mantap buat gaming youtube,10,MSI Best Monitor VGA Dulul Great For Gaming Youtube,0.8519,Positive
barang sangat baik,barang sangat baik,barang sangat baik,3,Very good item,0.4927,Positive
barang sesuai dengan pesanan dan pengiriman cepat semoga awet thanx seller,barang sesuai pesanan pengiriman cepat semoga awet thanx seller,barang sesuai pesan kirim cepat moga awet thanx seller,11,goods according to fast shipping order hopefully durable thanks seller,0.6808,Positive
pelayanan cepat barang sesuai deskripsi mantapp,pelayanan cepat barang sesuai deskripsi mantap,layan cepat barang sesuai deskripsi mantap,6,fast service goods according to a solid description,0.1531,Positive
puas bangetrespon cepatpngiriman tepat waktu storage laptop lega,puas bangetrespon cepatapingiriman tepat waktu storage laptop lega,puas bangetrespon cepatapingiriman tepat waktu storage laptop lega,8,very satisfied fasting fasting in time on the storage of a relief laptop,0.7346,Positive
respond dan pengiriman barang cepat paket juga aman terbungkus bubble wrap tebal,respond pengiriman barang cepat paket aman terbunggaus bubble wrap tebal,respond kirim barang cepat paket aman terbunggaus bubble wrap tebal,12,Respond Delivery Fast Goods Package Safe Bubble Wrap Thick,0.4404,Positive
spek sesuai admin oke,spek sesuai admin oke,spek sesuai admin oke,4,Spec according to the admin okay,0.2263,Positive
admin responsif menjawab pertanyaan barang sesuai spek tiputipu mantep,admin responsif menjawab pertanyaan barang sesuai spek tiputipu mantep,admin responsif jawab tanya barang sesuai spek tiputipu mantep,9,Admin is responsive to answer the goods questions according to the TIPUTUTU SPEK MANTEP,0.3612,Positive
mantap sesuai pesanan packing aman meskipun cuma bablewrap tapi berlapis lapis,mantap sesuai pesanan packing aman meskipun cuma bablewrap berlapis lapis,mantap sesuai pesan packing aman meski cuma bablewrap lap lapis,11,steady according to the order packing is safe even though it's only a layer layered bablewrap,0.4404,Positive
service nya top,service top,service top,3,Service top,0.2023,Positive
barang sudah sampai dengan selamat sesuai deskripsi dan berfungsi dengan baik,barang selamat sesuai deskripsi berfungsi baik,barang selamat sesuai deskripsi fungsi baik,11,Congratulations according to the description functioning well,0.7184,Positive
bagus buat kargo barang berat kuat kokoh dan gak goyang jadi aman barangnya,bagus buat kargo barang berat kuat kokoh ngga goyang jadi aman barangnya,bagus buat kargo barang berat kuat kokoh ngga goyang jadi aman barang,13,good for cargo strong sturdy sturdy goods not shake so it is safe,0.8715,Positive
barang mantap pelayanan cepat harga bersaing packing sangat memuaskan barang utuh nggak penyok,barang mantap pelayanan cepat harga bersaing packing sangat memuaskan barang utuh ngga penyok,barang mantap layan cepat harga saing packing sangat muas barang utuh ngga penyok,13,Fast Service Fast Service Competitive Price Packing is very satisfying whole goods or not dents,0.6115,Positive
packingnya tebel banget seller benar menjaga barang dari kerusakan msi joss,packingnya tebel banget seller benar menjaga barang kerusakan msi joss,packingnya tebel banget seller benar jaga barang rusa msi joss,11,"The packing is very thick, the seller is really guarding the damaged MSI Joss items",-0.4877,Negative
pertama kali merakit pc dg mobo msi dah hampir th masih berpungsi dengan baik sekarang merakit lagi dg mobo msi yg jauh lebih canggih teknologinya semoga awet,pertama kali merakit pc mobo msi dah hampir th berpungsi baik sekarang merakit mobo msi jauh lebih canggih teknologinya semoga awet,pertama kali rakit pc mobo msi dah hampir th pungsi baik sekarang rakit mobo msi jauh lebih canggih teknologi moga awet,27,"The first time to assemble Mobo Msi's PC, almost THERE IS NOT FUNCTION COURSE now assembles Mobo MSi is much more sophisticated technology, hopefully it will be durable",0.7818,Positive
sebaiknya tanyakan masalah kabel display port ke vganya cocok ke pc kalian apa nggak sampai saat ini belum ditest karena harus nunggu beli kabel converter dulu di toped,sebaiknya tanyakan masalah kabel display port vganya cocok pc kalian apa ngga ditest nunggu beli kabel converter dulu toped,baik tanya masalah kabel display port vganya cocok pc kalian apa ngga ditest nunggu beli kabel converter dulu toped,28,"We recommend asking the problem of the Valna Port Display Port Display, whether you are not tested waiting for the first cable converter cable topped",-0.0516,Negative
packing okeh mantep tebel bet dah,packing okeh mantep tebel banget dah,packing okeh mantep tebel banget dah,6,"Packing OK, it's really good",0.4927,Positive
mantab beli di official shop memang terbaik,mantap beli official shop memang terbaik,mantap beli official shop memang baik,7,great buying official shop is the best,0.8519,Positive
sejauh ini berjalan dgn baik,sejauh berjalan baik,jauh jalan baik,5,As far as it goes well,0.2732,Positive
first impressionnya sesuai ekspetasi sih seller juga fast respon makasih msi udah bikin puas,first impressionnya sesuai ekspetasi seller fast respon makasih msi udah puas,first impressionnya sesuai ekspetasi seller fast respon makasih msi udah puas,14,"First impression according to the expectations of the Fast Response Seller, thanks, Msi is satisfied",0.765,Positive
respon cepat dan brg bagus,respon cepat barang bagus,respon cepat barang bagus,5,fast response good stuff,0.4404,Positive
barang sesuai dengan deskripsi dan berfungsi dengan baik pemasangan mudah dan osd app intuitive tidak ada dead pixel dan spectrum warna fresh box cukup bagus,barang sesuai deskripsi berfungsi baik pemasangan mudah osd app intuitive dead pixel spectrum warna fresh box cukup bagus,barang sesuai deskripsi fungsi baik pasang mudah osd app intuitive dead pixel spectrum warna fresh box cukup bagus,25,Items according to the description functioning well installation Easy OSD App Intuitive Dead Pixel Spectrum Fresh Box Color is pretty good,0.7964,Positive
berguna untuk pengiriman aman jarak jauh,berguna pengiriman aman jarak jauh,guna kirim aman jarak jauh,6,Useful Delivery Safe Long Distance,0.7003,Positive
good lah,good lah,good lah,2,good,0.4404,Positive
terima kasih barang nya sdh diterima,terima kasih barang nyasudahditerima,terima kasih barang nyasudahditerima,6,"Thank you for the item, I am accepted",0.5574,Positive
barang sudah diterima dan di coba semua aman dan baik thanks,barang diterima coba semua aman baik thanks,barang terima coba semua aman baik thanks,11,"items are received, try all safe, good thanks",0.8271,Positive
mantap admin responsif selalu membantu,mantap admin responsif selalu membantu,mantap admin responsif selalu bantu,5,Great responsive admin always helps,0.8481,Positive
keren lah masa nggak,keren lah masa ngga,keren lah masa ngga,4,It's cool,0.3182,Positive
dabes,dabes,dabes,1,Dabes,0.0,Neutral
recommend seller pelayana baik ramah cepat barang ori,recommend seller pelayana baik ramah cepat barang ori,recommend seller pelayana baik ramah cepat barang ori,8,Recommend Seller Pelayana Good Fast Friendly Origi Goods,0.8225,Positive
barang yang diterima baik dan dibungkus dengan baik,barang diterima baik dibunggaus baik,barang terima baik dibunggaus baik,8,Good items are received well,0.6124,Positive
barang sudah di terima dan langsung di pakai proses cepat packing rapi dan aman tidak ada kerusakan atau cacat sedikit pun pada barang,barang terima langsung pakai proses cepat packing rapi aman kerusakan cacat sedikit barang,barang terima langsung pakai proses cepat packing rapi aman rusa cacat sedikit barang,23,items receive directly using the fast fast packing process safe damage to a little defect,-0.3415,Negative
josss,josss,josss,1,Josss,0.0,Neutral
paket terlindungi dan aman,paket terlindungi aman,paket lindung aman,4,safe protected package,0.7003,Positive
pelayanan dan pengirimannya mantapp kirim lintas pulau barangnya aman karena packagingnya tebal soal kualitas barang sudah pasti juaraa recommended seller,pelayanan pengirimannya mantap kirim lintas pulau barangnya aman packagingnya tebal soal kualitas barang juaraa recommended seller,layan kirim mantap kirim lintas pulau barang aman packagingnya tebal soal kualitas barang juaraa recommended seller,20,"The delivery service is steady sending cross islands, the goods are safe, the packaging is thick about the quality of the championship item, the recommended seller",0.765,Positive
kirim lintas pulau aman packaging tebal dan kokoh,kirim lintas pulau aman packaging tebal kokoh,kirim lintas pulau aman packaging tebal kokoh,8,Send Cross Island Aman Packaging Thick Sturdy,0.0,Neutral
mantul,mantul,mantul,1,Mantul,0.0,Neutral
berfungsi dengan baik semoga aweet,berfungsi baik semoga aweet,fungsi baik moga aweet,5,"Function well, hopefully durable",0.5859,Positive
packing bagus aman fast respon puas,packing bagus aman fast respon puas,packing bagus aman fast respon puas,6,good packing safe fast response satisfied,0.8225,Positive
build qualitynya terbaik enak banget buat ngegame keyboardnya mantap dan enak digunakan,build qualitynya terbaik enak banget buat ngegame keyboardnya mantap enak digunakan,build qualitynya baik enak banget buat ngegame keyboardnya mantap enak guna,12,The build quality is really good for playing the keyboard is great,0.854,Positive
produk asli ori resmi bergaransi indo semoga awet tahan lama packing tebal kurir jos syg ny trnyt ada yg jual murah slisih sktr ntah ada promo atau bagaim,produk asli ori resmi bergaransi indo semoga awet tahan lama packing tebal kurir jossayangny ternyata jual murah selisih sktr ntah promo bagaim,produk asli ori resmi garansi indo moga awet tahan lama packing tebal kurir jossayangny nyata jual murah selisih sktr ntah promo bagaim,28,Original Product Origi Official Guaranteed Indo Hopefully Long Long Long Long Packing Jossayangny Courier Turns Out Cheap Selling Difference Sktah Ntah Promo Like M,0.7579,Positive
berfungsi dengan baik thanks,berfungsi baik thanks,fungsi baik thanks,4,Function well thanks,0.6124,Positive
ini adalah salah satu pencapaian dan salah satu hadiah ulang tahun tapi beli sendiri wkwkwk mantap surantap lah pokoknya thanks msi akhirnya pc ku almost full msi,salah satu pencapaian salah satu hadiah ulang tahun beli sendiri wkwkwk mantap surantap lah pokoknya thanks msi akhirnya pc ku almost full msi,salah satu capai salah satu hadiah ulang tahun beli sendiri wkwkwk mantap surantap lah pokok thanks msi akhir pc ku almost full msi,27,One of the achievements of one of the birthday prizes for buying yourself wkwkwk is great,0.7964,Positive
barang sesuai foto dan deskripsi semoga awet penjual responsif pengirimannya juga sangat cepat,barang sesuai foto deskripsi semoga awet penjual responsif pengirimannya sangat cepat,barang sesuai foto deskripsi moga awet jual responsif kirim sangat cepat,13,"items according to the photo description, hopefully the seller is responsive to the shipping seller is very fast",0.6369,Positive
mantapppdatang dengan selamat belum di test,mantappdatang selamat test,mantappdatang selamat test,6,Mantappdatang Congratulations Test,0.5994,Positive
pengiriman sesuai jadwal packing bubble wrap berlapis luarnya dikasih wrap anti air lagi mantaap saran mobo ini baiknya buat yg mau pakai koneksi lan kabel kalau mau,pengiriman sesuai jadwal packing bubble wrap berlapis luarnya dikasih wrap anti air mantaap saran mobo baiknya buat mau pakai koneksi lan kabel kalau mau,kirim sesuai jadwal packing bubble wrap lap luar kasih wrap anti air mantaap saran mobo baik buat mau pakai koneksi lan kabel kalau mau,27,Delivery according to the schedule for packing bubble wrap layered outside the water is given a mantaap waterproof mobo suggestion for wanting to use a cable LAN connection if you want,0.0772,Positive
mantap lah pokoknya blm sempet foto,mantap lah pokoknya sempet foto,mantap lah pokok sempet foto,6,great is just a photo,0.6249,Positive
sampe jebol gini semoga aja nanti tidak ada kendala dengan unit nya,sampe jebol gini semoga aja kendala unit,sampe jebol gin moga aja kendala unit,12,"until broken like this, hopefully the obstacles of the unit",-0.128,Negative
wih mantab ringkes banget barangnya masib mau coba dulu,wih mantap ringgaes banget barangnya masib mau coba dulu,wih mantap ringgaes banget barang masib mau coba dulu,9,wih great ragges really the goods are still going first,0.6249,Positive
oke cuma firmware buat lednya error terus dan gak bisa diupdate jadi gak bisa pake msi mystic light buat ubah warna led component,oke cuma firmware buat lednya error terus ngga bisaa diupdate jadi ngga bisaa pake msi mystic light buat ubah warna led component,oke cuma firmware buat lednya error terus ngga bisaa diupdate jadi ngga bisaa pake msi mystic light buat ubah warna led component,23,"Okay, only the firmware for the LED is an error and can't be updated so I can't use MSI Mystic Light to change the color of the LED component",-0.2023,Negative
